Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness,
638,R,BU,296,BinarySearch,,TRUE,
712,R,BU,432,BinarySearch,,TRUE,
750,R,BU,760,BinarySearch,,TRUE,
784,R,BU,438,BinarySearch,,TRUE,
841,R,BU,123,BinarySearch,,TRUE,
857,R,BU,467,BinarySearch,,TRUE,
938,R,BU,575,BinarySearch,,TRUE,
704,R,BU,255,BubbleSort,,TRUE,
715,R,BU,255,BubbleSort,,TRUE,
733,R,BU,366,BubbleSort,,TRUE,
748,R,BU,205,BubbleSort,,TRUE,
756,R,BU,256,BubbleSort,,TRUE,
780,R,BU,150,BubbleSort,,TRUE,
813,R,BU,198,BubbleSort,,TRUE,
815,R,BU,729,BubbleSort,,TRUE,
831,R,BU,110,BubbleSort,,TRUE,
875,R,BU,284,BubbleSort,,TRUE,
900,R,BU,143,BubbleSort,,TRUE,
939,R,BU,257,BubbleSort,,TRUE,
945,R,BU,179,BubbleSort,,TRUE,
631,R,BU,191,Factorial,,TRUE,
699,R,BU,76,Factorial,,TRUE,
716,R,BU,109,Factorial,,TRUE,
727,R,BU,176,Factorial,,TRUE,
734,R,BU,30,Factorial,,TRUE,
737,R,BU,28,Factorial,,TRUE,
761,R,BU,202,Factorial,,TRUE,
773,R,BU,74,Factorial,,TRUE,
774,R,BU,82,Factorial,,TRUE,
794,R,BU,15,Factorial,,TRUE,
799,R,BU,43,Factorial,,TRUE,
805,R,BU,117,Factorial,,TRUE,
817,R,BU,144,Factorial,,TRUE,
825,R,BU,87,Factorial,,TRUE,
828,R,BU,70,Factorial,,TRUE,
837,R,BU,39,Factorial,,TRUE,
859,R,BU,55,Factorial,,TRUE,
860,R,BU,61,Factorial,,TRUE,
883,R,BU,1287,Factorial,,TRUE,
886,R,BU,90,Factorial,,TRUE,
894,R,BU,31,Factorial,,TRUE,
936,R,BU,78,Factorial,,TRUE,
946,R,BU,81,Factorial,,TRUE,
958,R,BU,25,Factorial,,TRUE,
653,R,BU,161,Fibonacci,,TRUE,
707,R,BU,52,Fibonacci,,TRUE,
730,R,BU,184,Fibonacci,,TRUE,
735,R,BU,149,Fibonacci,,TRUE,
740,R,BU,145,Fibonacci,,TRUE,
803,R,BU,65,Fibonacci,,TRUE,
804,R,BU,359,Fibonacci,,TRUE,
851,R,BU,50,Fibonacci,,TRUE,
853,R,BU,85,Fibonacci,,TRUE,
867,R,BU,73,Fibonacci,,TRUE,
888,R,BU,314,Fibonacci,,TRUE,
898,R,BU,167,Fibonacci,,TRUE,
942,R,BU,537,Fibonacci,,TRUE,
653,R,BU,147,IntegerBinary,,TRUE,
735,R,BU,263,IntegerBinary,,TRUE,
744,R,BU,126,IntegerBinary,,TRUE,
803,R,BU,74,IntegerBinary,,TRUE,
888,R,BU,326,IntegerBinary,,TRUE,
941,R,BU,456,IntegerBinary,,TRUE,
942,R,BU,1554,IntegerBinary,,TRUE,
704,R,BU,523,MultiplyMatrix,,TRUE,
832,R,BU,454,MultiplyMatrix,,TRUE,
875,R,BU,667,MultiplyMatrix,,TRUE,
939,R,BU,556,MultiplyMatrix,,TRUE,
837,R,BU,141,PrimeFactors,,TRUE,
842,R,BU,47,PrimeFactors,,TRUE,
886,R,BU,219,PrimeFactors,,TRUE,
946,R,BU,162,PrimeFactors,,TRUE,
696,R,BU,238,ReverseString,,TRUE,
709,R,BU,147,ReverseString,,TRUE,
712,R,BU,567,ReverseString,,TRUE,
732,R,BU,108,ReverseString,,TRUE,
736,R,BU,306,ReverseString,,TRUE,
749,R,BU,226,ReverseString,,TRUE,
750,R,BU,141,ReverseString,,TRUE,
784,R,BU,118,ReverseString,,TRUE,
788,R,BU,128,ReverseString,,TRUE,
792,R,BU,105,ReverseString,,TRUE,
806,R,BU,126,ReverseString,,TRUE,
889,R,BU,69,ReverseString,,TRUE,
895,R,BU,69,ReverseString,,TRUE,
938,R,BU,739,ReverseString,,TRUE,
948,R,BU,174,ReverseString,,TRUE,
653,I,BU,183,BinarySearch,,TRUE,
941,I,BU,580,BinarySearch,,TRUE,
942,I,BU,87,BinarySearch,,TRUE,
653,I,BU,163,BubbleSort,,TRUE,
707,I,BU,66,BubbleSort,,TRUE,
744,I,BU,140,BubbleSort,,TRUE,
787,I,BU,368,BubbleSort,,TRUE,
821,I,BU,17,BubbleSort,,TRUE,
867,I,BU,354,BubbleSort,,TRUE,
888,I,BU,286,BubbleSort,,TRUE,
898,I,BU,698,BubbleSort,,TRUE,
638,I,BU,76,Factorial,,TRUE,
696,I,BU,45,Factorial,,TRUE,
709,I,BU,237,Factorial,,TRUE,
712,I,BU,483,Factorial,,TRUE,
732,I,BU,92,Factorial,,TRUE,
736,I,BU,42,Factorial,,TRUE,
749,I,BU,122,Factorial,,TRUE,
750,I,BU,269,Factorial,,TRUE,
769,I,BU,71,Factorial,,TRUE,
784,I,BU,83,Factorial,,TRUE,
788,I,BU,221,Factorial,,TRUE,
791,I,BU,66,Factorial,,TRUE,
792,I,BU,298,Factorial,,TRUE,
806,I,BU,117,Factorial,,TRUE,
816,I,BU,116,Factorial,,TRUE,
829,I,BU,184,Factorial,,TRUE,
841,I,BU,57,Factorial,,TRUE,
850,I,BU,9,Factorial,,TRUE,
857,I,BU,97,Factorial,,TRUE,
858,I,BU,78,Factorial,,TRUE,
868,I,BU,183,Factorial,,TRUE,
877,I,BU,61,Factorial,,TRUE,
889,I,BU,80,Factorial,,TRUE,
895,I,BU,158,Factorial,,TRUE,
938,I,BU,97,Factorial,,TRUE,
948,I,BU,313,Factorial,,TRUE,
949,I,BU,103,Factorial,,TRUE,
643,I,BU,210,Fibonacci,,TRUE,
704,I,BU,453,Fibonacci,,TRUE,
715,I,BU,612,Fibonacci,,TRUE,
733,I,BU,177,Fibonacci,,TRUE,
748,I,BU,268,Fibonacci,,TRUE,
756,I,BU,155,Fibonacci,,TRUE,
757,I,BU,44,Fibonacci,,TRUE,
780,I,BU,97,Fibonacci,,TRUE,
785,I,BU,295,Fibonacci,,TRUE,
801,I,BU,189,Fibonacci,,TRUE,
813,I,BU,224,Fibonacci,,TRUE,
815,I,BU,295,Fibonacci,,TRUE,
832,I,BU,140,Fibonacci,,TRUE,
875,I,BU,306,Fibonacci,,TRUE,
876,I,BU,445,Fibonacci,,TRUE,
900,I,BU,111,Fibonacci,,TRUE,
939,I,BU,146,Fibonacci,,TRUE,
945,I,BU,159,Fibonacci,,TRUE,
712,I,BU,1277,IntegerBinary,,TRUE,
750,I,BU,212,IntegerBinary,,TRUE,
784,I,BU,223,IntegerBinary,,TRUE,
829,I,BU,378,IntegerBinary,,TRUE,
841,I,BU,61,IntegerBinary,,TRUE,
857,I,BU,239,IntegerBinary,,TRUE,
938,I,BU,403,IntegerBinary,,TRUE,
631,I,BU,117,MultiplyMatrix,,TRUE,
699,I,BU,227,MultiplyMatrix,,TRUE,
727,I,BU,1094,MultiplyMatrix,,TRUE,
837,I,BU,362,MultiplyMatrix,,TRUE,
859,I,BU,353,MultiplyMatrix,,TRUE,
860,I,BU,469,MultiplyMatrix,,TRUE,
886,I,BU,924,MultiplyMatrix,,TRUE,
958,I,BU,169,MultiplyMatrix,,TRUE,
757,I,BU,139,PrimeFactors,,TRUE,
813,I,BU,514,PrimeFactors,,TRUE,
815,I,BU,877,PrimeFactors,,TRUE,
631,I,BU,110,ReverseString,,TRUE,
699,I,BU,162,ReverseString,,TRUE,
716,I,BU,824,ReverseString,,TRUE,
727,I,BU,387,ReverseString,,TRUE,
734,I,BU,45,ReverseString,,TRUE,
751,I,BU,348,ReverseString,,TRUE,
767,I,BU,65,ReverseString,,TRUE,
773,I,BU,948,ReverseString,,TRUE,
774,I,BU,212,ReverseString,,TRUE,
794,I,BU,13,ReverseString,,TRUE,
799,I,BU,104,ReverseString,,TRUE,
805,I,BU,294,ReverseString,,TRUE,
817,I,BU,274,ReverseString,,TRUE,
825,I,BU,210,ReverseString,,TRUE,
828,I,BU,130,ReverseString,,TRUE,
837,I,BU,123,ReverseString,,TRUE,
859,I,BU,173,ReverseString,,TRUE,
860,I,BU,164,ReverseString,,TRUE,
886,I,BU,49,ReverseString,,TRUE,
894,I,BU,24,ReverseString,,TRUE,
946,I,BU,211,ReverseString,,TRUE,
958,I,BU,78,ReverseString,,TRUE,
875,R,TD,151,BinarySearch,,TRUE,
876,R,TD,139,BinarySearch,,TRUE,
939,R,TD,317,BinarySearch,,TRUE,
699,R,TD,17,BubbleSort,,TRUE,
700,R,TD,22,BubbleSort,,TRUE,
716,R,TD,69,BubbleSort,,TRUE,
734,R,TD,4,BubbleSort,,TRUE,
737,R,TD,18,BubbleSort,,TRUE,
751,R,TD,32,BubbleSort,,TRUE,
794,R,TD,7,BubbleSort,,TRUE,
799,R,TD,32,BubbleSort,,TRUE,
805,R,TD,120,BubbleSort,,TRUE,
825,R,TD,25,BubbleSort,,TRUE,
837,R,TD,22,BubbleSort,,TRUE,
859,R,TD,24,BubbleSort,,TRUE,
860,R,TD,37,BubbleSort,,TRUE,
886,R,TD,6,BubbleSort,,TRUE,
894,R,TD,3,BubbleSort,,TRUE,
946,R,TD,20,BubbleSort,,TRUE,
958,R,TD,8,BubbleSort,,TRUE,
643,R,TD,64,Factorial,,TRUE,
694,R,TD,36,Factorial,,TRUE,
704,R,TD,51,Factorial,,TRUE,
715,R,TD,108,Factorial,,TRUE,
733,R,TD,84,Factorial,,TRUE,
739,R,TD,41,Factorial,,TRUE,
748,R,TD,88,Factorial,,TRUE,
756,R,TD,35,Factorial,,TRUE,
757,R,TD,37,Factorial,,TRUE,
772,R,TD,106,Factorial,,TRUE,
780,R,TD,51,Factorial,,TRUE,
785,R,TD,123,Factorial,,TRUE,
801,R,TD,68,Factorial,,TRUE,
813,R,TD,124,Factorial,,TRUE,
815,R,TD,97,Factorial,,TRUE,
831,R,TD,40,Factorial,,TRUE,
832,R,TD,82,Factorial,,TRUE,
833,R,TD,31,Factorial,,TRUE,
854,R,TD,146,Factorial,,TRUE,
855,R,TD,54,Factorial,,TRUE,
875,R,TD,103,Factorial,,TRUE,
876,R,TD,87,Factorial,,TRUE,
900,R,TD,143,Factorial,,TRUE,
939,R,TD,107,Factorial,,TRUE,
945,R,TD,38,Factorial,,TRUE,
696,R,TD,137,Fibonacci,,TRUE,
706,R,TD,298,Fibonacci,,TRUE,
709,R,TD,230,Fibonacci,,TRUE,
712,R,TD,706,Fibonacci,,TRUE,
736,R,TD,179,Fibonacci,,TRUE,
750,R,TD,165,Fibonacci,,TRUE,
784,R,TD,120,Fibonacci,,TRUE,
788,R,TD,141,Fibonacci,,TRUE,
829,R,TD,157,Fibonacci,,TRUE,
850,R,TD,5,Fibonacci,,TRUE,
857,R,TD,137,Fibonacci,,TRUE,
858,R,TD,157,Fibonacci,,TRUE,
868,R,TD,188,Fibonacci,,TRUE,
938,R,TD,338,Fibonacci,,TRUE,
948,R,TD,104,Fibonacci,,TRUE,
949,R,TD,145,Fibonacci,,TRUE,
631,R,TD,82,IntegerBinary,,TRUE,
699,R,TD,109,IntegerBinary,,TRUE,
761,R,TD,173,IntegerBinary,,TRUE,
767,R,TD,53,IntegerBinary,,TRUE,
828,R,TD,166,IntegerBinary,,TRUE,
837,R,TD,49,IntegerBinary,,TRUE,
842,R,TD,16,IntegerBinary,,TRUE,
859,R,TD,334,IntegerBinary,,TRUE,
860,R,TD,227,IntegerBinary,,TRUE,
886,R,TD,62,IntegerBinary,,TRUE,
946,R,TD,208,IntegerBinary,,TRUE,
958,R,TD,86,IntegerBinary,,TRUE,
712,R,TD,756,MultiplyMatrix,,TRUE,
750,R,TD,375,MultiplyMatrix,,TRUE,
792,R,TD,377,MultiplyMatrix,,TRUE,
857,R,TD,302,MultiplyMatrix,,TRUE,
938,R,TD,1172,MultiplyMatrix,,TRUE,
759,R,TD,71,PrimeFactors,,TRUE,
762,R,TD,283,PrimeFactors,,TRUE,
830,R,TD,107,PrimeFactors,,TRUE,
888,R,TD,152,PrimeFactors,,TRUE,
942,R,TD,965,PrimeFactors,,TRUE,
653,R,TD,68,ReverseString,,TRUE,
707,R,TD,56,ReverseString,,TRUE,
717,R,TD,119,ReverseString,,TRUE,
735,R,TD,210,ReverseString,,TRUE,
744,R,TD,101,ReverseString,,TRUE,
759,R,TD,128,ReverseString,,TRUE,
787,R,TD,360,ReverseString,,TRUE,
803,R,TD,52,ReverseString,,TRUE,
804,R,TD,895,ReverseString,,TRUE,
834,R,TD,46,ReverseString,,TRUE,
867,R,TD,378,ReverseString,,TRUE,
880,R,TD,592,ReverseString,,TRUE,
699,I,TD,240,BinarySearch,,TRUE,
727,I,TD,1053,BinarySearch,,TRUE,
837,I,TD,165,BinarySearch,,TRUE,
852,I,TD,366,BinarySearch,,TRUE,
859,I,TD,477,BinarySearch,,TRUE,
886,I,TD,151,BinarySearch,,TRUE,
936,I,TD,263,BinarySearch,,TRUE,
946,I,TD,128,BinarySearch,,TRUE,
958,I,TD,63,BinarySearch,,TRUE,
696,I,TD,168,BubbleSort,,TRUE,
708,I,TD,98,BubbleSort,,TRUE,
709,I,TD,180,BubbleSort,,TRUE,
712,I,TD,1147,BubbleSort,,TRUE,
736,I,TD,241,BubbleSort,,TRUE,
749,I,TD,352,BubbleSort,,TRUE,
750,I,TD,351,BubbleSort,,TRUE,
784,I,TD,119,BubbleSort,,TRUE,
791,I,TD,132,BubbleSort,,TRUE,
792,I,TD,308,BubbleSort,,TRUE,
816,I,TD,231,BubbleSort,,TRUE,
868,I,TD,1967,BubbleSort,,TRUE,
889,I,TD,94,BubbleSort,,TRUE,
895,I,TD,234,BubbleSort,,TRUE,
938,I,TD,613,BubbleSort,,TRUE,
948,I,TD,186,BubbleSort,,TRUE,
653,I,TD,234,Factorial,,TRUE,
707,I,TD,31,Factorial,,TRUE,
717,I,TD,35,Factorial,,TRUE,
730,I,TD,48,Factorial,,TRUE,
735,I,TD,87,Factorial,,TRUE,
744,I,TD,77,Factorial,,TRUE,
759,I,TD,122,Factorial,,TRUE,
762,I,TD,134,Factorial,,TRUE,
793,I,TD,223,Factorial,,TRUE,
803,I,TD,23,Factorial,,TRUE,
830,I,TD,198,Factorial,,TRUE,
834,I,TD,44,Factorial,,TRUE,
851,I,TD,49,Factorial,,TRUE,
867,I,TD,20,Factorial,,TRUE,
880,I,TD,292,Factorial,,TRUE,
888,I,TD,96,Factorial,,TRUE,
898,I,TD,129,Factorial,,TRUE,
941,I,TD,107,Factorial,,TRUE,
942,I,TD,133,Factorial,,TRUE,
631,I,TD,113,Fibonacci,,TRUE,
699,I,TD,74,Fibonacci,,TRUE,
716,I,TD,284,Fibonacci,,TRUE,
727,I,TD,299,Fibonacci,,TRUE,
734,I,TD,44,Fibonacci,,TRUE,
751,I,TD,164,Fibonacci,,TRUE,
761,I,TD,523,Fibonacci,,TRUE,
773,I,TD,174,Fibonacci,,TRUE,
794,I,TD,64,Fibonacci,,TRUE,
799,I,TD,103,Fibonacci,,TRUE,
805,I,TD,229,Fibonacci,,TRUE,
817,I,TD,110,Fibonacci,,TRUE,
825,I,TD,105,Fibonacci,,TRUE,
828,I,TD,176,Fibonacci,,TRUE,
837,I,TD,251,Fibonacci,,TRUE,
852,I,TD,200,Fibonacci,,TRUE,
859,I,TD,219,Fibonacci,,TRUE,
860,I,TD,177,Fibonacci,,TRUE,
886,I,TD,95,Fibonacci,,TRUE,
894,I,TD,30,Fibonacci,,TRUE,
936,I,TD,231,Fibonacci,,TRUE,
946,I,TD,361,Fibonacci,,TRUE,
958,I,TD,122,Fibonacci,,TRUE,
704,I,TD,240,IntegerBinary,,TRUE,
739,I,TD,122,IntegerBinary,,TRUE,
757,I,TD,100,IntegerBinary,,TRUE,
813,I,TD,186,IntegerBinary,,TRUE,
815,I,TD,420,IntegerBinary,,TRUE,
832,I,TD,137,IntegerBinary,,TRUE,
854,I,TD,313,IntegerBinary,,TRUE,
855,I,TD,219,IntegerBinary,,TRUE,
875,I,TD,304,IntegerBinary,,TRUE,
876,I,TD,146,IntegerBinary,,TRUE,
939,I,TD,236,IntegerBinary,,TRUE,
945,I,TD,100,IntegerBinary,,TRUE,
653,I,TD,193,MultiplyMatrix,,TRUE,
834,I,TD,127,MultiplyMatrix,,TRUE,
853,I,TD,269,MultiplyMatrix,,TRUE,
942,I,TD,438,MultiplyMatrix,,TRUE,
638,I,TD,69,PrimeFactors,,TRUE,
784,I,TD,283,PrimeFactors,,TRUE,
792,I,TD,338,PrimeFactors,,TRUE,
841,I,TD,94,PrimeFactors,,TRUE,
949,I,TD,49,PrimeFactors,,TRUE,
643,I,TD,89,ReverseString,,TRUE,
704,I,TD,176,ReverseString,,TRUE,
715,I,TD,119,ReverseString,,TRUE,
733,I,TD,123,ReverseString,,TRUE,
739,I,TD,145,ReverseString,,TRUE,
748,I,TD,78,ReverseString,,TRUE,
756,I,TD,354,ReverseString,,TRUE,
757,I,TD,69,ReverseString,,TRUE,
780,I,TD,76,ReverseString,,TRUE,
785,I,TD,518,ReverseString,,TRUE,
801,I,TD,122,ReverseString,,TRUE,
813,I,TD,161,ReverseString,,TRUE,
815,I,TD,154,ReverseString,,TRUE,
831,I,TD,59,ReverseString,,TRUE,
832,I,TD,201,ReverseString,,TRUE,
833,I,TD,48,ReverseString,,TRUE,
854,I,TD,241,ReverseString,,TRUE,
855,I,TD,72,ReverseString,,TRUE,
875,I,TD,147,ReverseString,,TRUE,
876,I,TD,164,ReverseString,,TRUE,
900,I,TD,254,ReverseString,,TRUE,
939,I,TD,224,ReverseString,,TRUE,
945,I,TD,90,ReverseString,,TRUE,
